timestamp,playerPos,offset
396,10,0
532,10,0
533,10,0
614,10,0
632,10,0
650,10,0
666,10,0
682,10,0
699,10,0
716,10,0
733,10,0
752,10,0
766,10,0
784,10,0
799,10,0
816,10,0
832,10,0
850,10,0
866,10,0
882,10,0
898,10,0
916,10,0
932,10,0
949,10,0
965,10,0
982,10,0
999,10,0
1014,10,0
1032,10,0
1048,10,0
1065,10,0
1082,10,0
1099,10,0
1115,10,0
1131,10,0
1148,10,0
1165,10,0
1181,10,0
1199,10,0
1216,10,0
1232,10,0
1248,10,0
1265,10,0
1281,10,0
1299,10,0
1315,10,0
1332,10,0
1349,10,0
1365,10,0
1381,10,0
1399,10,0
1415,10,0
1432,10,0
1448,10,0
1465,10,0
1481,10,0
1499,10,0
1515,10,0
1532,10,0
1549,10,0
1568,10,0
1581,10,0
1603,10,0
1616,10,0
1633,10,0
1650,10,0
1666,10,0
1683,10,0
1699,10,0
1716,10,0
1733,10,0
1749,10,0
1766,10,0
1782,10,0
1799,10,0
1815,10,0
1833,10,0
1849,10,0
1867,10,0
1883,10,0
1899,10,0
1916,10,0
1932,10,0
1950,10,0
1967,10,0
1982,10,0
2000,10,0
2023,10,0
2031,10,0
2048,10,0
2065,10,0
2081,10,0
2098,10,0
2115,10,0
2131,10,0
2148,10,0
2165,10,0
2181,10,0
2199,10,0
2215,10,0
2231,10,0
2249,10,0
2265,10,0
2281,10,0
2299,10,0
2317,10,0
2332,10,0
2348,10,0
2365,10,0
2381,10,0
2398,10,0
2415,10,0
2432,10,0
2449,10,0
2465,10,0
2481,10,0
2499,10,0
2515,10,0
2558,10,0
2559,10,0
2576,10,0
2595,10,0
2611,10,0
2627,10,0
2700,10,0
2700,10,0
2717,10,0
2735,10,0
2752,10,0
2769,10,0
2785,10,0
2801,10,0
2818,10,0
2834,10,0
2851,10,0
2868,10,0
2884,10,0
2901,10,0
2918,10,0
2935,10,0
2952,10,0
2968,10,0
2985,10,0
3001,10,0
3017,10,0
3033,10,0
3050,10,0
3067,10,0
3084,10,0
3100,10,0
3117,10,0
3134,10,0
3150,10,0
3167,10,0
3183,10,0
3200,10,0
3217,10,0
3234,10,0
3251,10,0
3267,10,0
3283,10,0
3300,10,0
3317,10,0
3334,10,0
3351,10,0
3367,10,0
3383,10,0
3400,10,0
3417,10,0
3434,10,0
3451,10,0
3467,10,0
3484,10,0
3501,10,0
3517,10,0
3534,10,0
3551,10,0
3567,10,0
3584,10,0
3602,10,0
3618,10,0
3635,10,0
