timestamp,playerPos,offset
578,10,0
698,10,0
699,10,0
716,10,0
734,10,0
750,10,0
767,10,0
783,10,0
800,10,0
817,10,0
833,10,0
850,10,0
867,10,0
884,10,0
900,10,0
917,10,0
935,10,0
950,10,0
966,10,0
983,10,0
1000,10,0
1015,10,0
1033,10,0
1049,10,0
1066,10,0
1083,10,0
1098,10,0
1116,10,0
1133,10,0
1149,10,0
1165,10,0
1183,10,0
1199,10,0
1215,10,0
1233,10,0
1249,10,0
1265,10,0
1283,10,0
1301,10,0
1316,10,0
1333,10,0
1349,10,0
1366,10,0
1382,10,0
1411,10,0
1428,10,0
1444,10,0
1465,10,0
1480,10,0
1493,10,0
1508,10,0
1525,10,0
1541,10,0
1558,10,0
1575,10,0
1591,10,0
1608,10,0
1621,10,0
1641,10,0
1659,10,0
1670,10,0
1692,10,0
1708,10,0
1720,10,0
1742,10,0
1756,10,0
1771,10,0
1788,10,0
1804,10,0
1821,10,0
1841,10,0
1854,10,0
1870,10,0
1888,10,0
1904,10,0
1921,10,0
1937,10,0
1954,10,0
1971,10,0
1987,10,0
2003,10,0
2019,10,0
2037,10,0
2054,10,0
2070,10,0
2086,10,0
2103,10,0
2120,10,0
2137,10,0
2153,10,0
2170,10,0
2186,10,0
2203,10,0
2220,10,0
2242,9,0
2253,9,0
2270,9,0
2287,9,0
2304,9,0
2320,9,0
2337,9,0
2353,9,0
2370,9,0
2388,8,0
2403,8,0
2420,8,0
2437,8,0
2454,8,0
2472,8,0
2488,8,0
2505,8,0
2521,8,0
2538,7,0
2554,7,0
2571,7,0
2588,7,0
2605,7,0
2622,7,0
2638,7,0
2654,7,0
2671,7,0
2687,7,0
2705,7,0
2722,6,0
2737,6,0
2755,6,0
2771,6,0
2788,6,0
2804,6,0
2820,6,0
2837,6,0
2855,6,0
2871,5,0
2888,5,0
2904,5,0
2920,5,0
2939,5,0
2955,5,0
2972,5,0
2988,5,0
3004,5,0
3020,4,0
3037,4,0
3053,4,0
3071,4,0
3088,4,0
3104,4,0
3120,4,0
3137,4,0
3154,4,0
3171,4,0
3187,4,0
3203,4,0
3220,4,0
3237,4,0
3254,4,0
3270,4,0
3287,4,0
3304,4,0
3321,4,0
3336,4,0
3353,4,0
3370,4,0
3387,4,0
3405,5,0
3420,5,0
3437,5,0
3454,5,0
3472,5,0
3488,5,0
3505,5,0
3522,5,0
3539,5,0
3554,6,0
3572,6,0
3588,6,0
3604,6,0
3622,6,0
3638,6,0
3655,6,0
3671,6,0
3688,6,0
3704,7,0
3722,7,0
3738,7,0
3755,7,0
3772,7,0
3789,7,0
3805,7,0
3821,7,0
3838,7,0
3854,7,0
3871,8,0
3888,8,0
3905,8,0
3922,8,0
3939,8,0
3956,8,0
3972,8,0
3988,8,0
4003,8,0
4021,8,0
4038,9,0
4055,9,0
4071,9,0
4088,9,0
4104,9,0
4121,9,0
4138,9,0
4153,9,0
4171,9,0
4188,9,0
4204,9,0
4221,9,0
4238,9,0
4254,9,0
4271,9,0
4287,9,0
4303,9,0
4321,9,0
4337,10,0
4354,10,0
4370,10,0
4387,10,0
4404,10,0
4420,10,0
4438,10,0
4456,10,0
4473,10,0
4488,10,0
4505,11,0
4522,11,0
4539,11,0
4556,11,0
4572,11,0
4589,11,0
4606,11,0
4622,11,0
4639,11,0
4655,11,0
4671,11,0
4689,11,0
4705,11,0
4722,11,0
4738,11,0
4755,11,0
4772,11,0
4788,11,0
4805,11,0
4821,11,0
4839,11,0
4855,11,0
4872,11,0
4888,11,0
4905,11,0
4922,11,0
4938,11,0
4954,11,0
4971,11,0
4989,11,0
5004,11,0
5020,11,0
5037,11,0
5054,11,0
5071,11,0
5087,11,0
5105,11,0
5121,11,0
5137,11,0
5154,11,0
5171,11,0
5188,11,0
5204,11,0
5221,11,0
5238,11,0
5254,11,0
5271,11,0
5288,11,0
5304,11,0
5321,11,0
5337,11,0
5354,11,0
5371,11,0
5388,11,0
5404,11,0
5421,11,0
5437,11,0
5455,11,0
5472,11,0
5489,11,0
5505,11,0
5522,11,0
5539,11,0
5555,11,0
5572,11,0
5588,11,0
5605,11,0
5622,11,0
5638,11,0
5655,11,0
5672,11,0
5688,11,0
5706,11,0
5721,11,0
5739,11,0
5755,11,0
5771,11,0
5788,11,0
5805,11,0
5821,11,0
5839,11,0
5855,11,0
5872,11,0
5888,11,0
5906,11,0
5923,11,0
5938,11,0
5955,11,0
5973,11,0
5989,11,0
6004,11,0
6021,11,0
6037,11,0
6054,11,0
6072,11,0
6088,11,0
6105,11,0
6121,11,0
6138,11,0
6154,11,0
6171,11,0
6188,11,0
6204,11,0
6221,11,0
6238,11,0
6254,11,0
6271,11,0
6287,11,0
6305,11,0
6321,11,0
6338,11,0
6354,11,0
6370,11,0
6388,11,0
6404,11,0
6421,11,0
6438,11,0
6455,11,0
6472,11,0
6489,11,0
6505,11,0
6522,11,0
6539,11,0
6555,11,0
6572,11,0
6588,11,0
6605,11,0
6622,11,0
6638,11,0
6655,11,0
6672,11,0
6689,11,0
6705,11,0
6722,11,0
6738,11,0
6755,11,0
6772,11,0
6789,11,0
6806,11,0
6822,11,0
6839,11,0
6854,11,0
6872,11,0
6889,11,0
6905,11,0
6922,11,0
6939,11,0
6955,11,0
6972,11,0
6989,11,0
7004,11,0
7021,11,0
